SOC Code,Blind Employed,Occupational Title_IDB,Occupational Title_BLS,Active Learning_IM,Active Learning_LV,Active Listening_IM,Active Listening_LV,Complex Problem Solving_IM,Complex Problem Solving_LV,Coordination_IM,Coordination_LV,Critical Thinking_IM,Critical Thinking_LV,Equipment Maintenance_IM,Equipment Maintenance_LV,Equipment Selection_IM,Equipment Selection_LV,Installation_IM,Installation_LV,Instructing_IM,Instructing_LV,Judgment and Decision Making_IM,Judgment and Decision Making_LV,Learning Strategies_IM,Learning Strategies_LV,Management of Financial Resources_IM,Management of Financial Resources_LV,Management of Material Resources_IM,Management of Material Resources_LV,Management of Personnel Resources_IM,Management of Personnel Resources_LV,Mathematics_IM,Mathematics_LV,Monitoring_IM,Monitoring_LV,Negotiation_IM,Negotiation_LV,Operation and Control_IM,Operation and Control_LV,Operations Analysis_IM,Operations Analysis_LV,Operations Monitoring_IM,Operations Monitoring_LV,Persuasion_IM,Persuasion_LV,Programming_IM,Programming_LV,Quality Control Analysis_IM,Quality Control Analysis_LV,Reading Comprehension_IM,Reading Comprehension_LV,Repairing_IM,Repairing_LV,Science_IM,Science_LV,Service Orientation_IM,Service Orientation_LV,Social Perceptiveness_IM,Social Perceptiveness_LV,Speaking_IM,Speaking_LV,Systems Analysis_IM,Systems Analysis_LV,Systems Evaluation_IM,Systems Evaluation_LV,Technology Design_IM,Technology Design_LV,Time Management_IM,Time Management_LV,Troubleshooting_IM,Troubleshooting_LV,Writing_IM,Writing_LV,Employment,Projected Employment,Projected Growth,Projected Growth Text,Projected Annual Job Openings
11-1011.00,0,,Chief Executives,3.75,4.5,4.0,4.75,4.38,4.88,4.25,4.88,4.38,4.75,1.0,0.0,1.12,0.25,1.0,0.0,3.38,3.88,4.75,5.38,3.12,3.75,4.25,5.25,4.0,4.75,4.25,5.25,3.25,3.5,4.0,5.25,4.12,4.75,1.88,1.38,3.12,3.88,2.0,1.5,4.0,4.75,1.75,1.0,1.88,1.12,4.12,4.62,1.0,0.0,1.62,0.75,3.12,3.38,4.12,4.25,4.25,4.75,4.12,5.12,4.25,5.0,1.75,0.88,4.0,4.75,1.5,0.5,4.12,4.38,280000,257000,-8.0,Decline,15300
11-1011.03,0,,Chief Sustainability Officers,3.75,3.88,4.0,4.0,4.0,4.12,3.75,3.88,4.12,4.12,1.0,0.0,1.12,0.25,1.0,0.0,3.25,3.38,3.88,4.0,3.38,3.75,2.88,3.12,2.25,2.62,3.12,4.0,2.88,3.12,3.75,4.0,3.12,3.25,2.0,1.0,2.88,3.12,2.0,1.88,3.88,4.0,1.88,1.12,1.88,1.5,4.0,4.25,1.0,0.0,2.12,1.88,3.25,3.25,3.88,3.88,4.0,4.12,3.88,4.0,3.88,4.0,1.88,1.12,3.38,3.88,1.0,0.0,4.12,4.25,280000,257000,-8.0,Decline,15300
11-1021.00,1,Independent Contractor,General and Operations Managers,3.62,3.75,4.0,4.12,3.62,3.88,3.88,4.0,3.88,3.88,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.25,3.62,3.88,3.0,3.12,3.0,3.38,3.12,3.25,3.75,4.0,2.62,2.75,4.0,4.12,3.5,3.62,1.88,1.75,2.5,2.38,2.25,2.12,3.62,3.75,1.5,0.62,2.38,2.12,4.0,4.0,1.0,0.0,1.5,0.62,3.25,3.12,3.75,4.0,4.0,4.12,3.12,3.12,3.12,3.25,1.5,0.62,3.62,3.88,1.75,1.0,3.5,3.88,3507800,3655100,4.0,Average,296300
11-2011.00,1,Retention: Advertising Business Owner,Advertising and Promotions Managers,3.25,4.12,4.12,4.12,3.5,3.88,3.5,4.12,4.0,4.12,1.0,0.0,1.12,0.12,1.0,0.0,2.88,3.0,3.75,4.0,3.0,3.25,2.75,3.62,2.62,2.62,3.12,3.88,3.0,3.25,3.25,4.25,3.12,3.75,1.0,0.0,2.75,3.12,1.62,0.62,3.38,3.88,1.75,0.75,1.62,1.0,3.75,4.0,1.0,0.0,1.62,0.62,3.12,3.25,4.0,4.0,4.0,4.12,3.12,3.12,3.12,3.75,1.75,0.75,3.5,3.88,1.0,0.0,3.75,3.88,30900,31400,2.0,Average,2800
11-2021.00,1,Marketing Coordinator,Marketing Managers,3.88,4.12,3.88,4.12,3.62,3.88,3.5,3.75,3.88,4.25,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.5,3.75,4.0,3.12,3.5,2.88,3.75,2.62,2.75,3.38,3.88,2.75,3.12,3.75,4.25,3.62,3.88,1.0,0.0,3.38,3.62,1.75,1.25,3.75,4.38,1.88,1.25,1.88,1.38,3.88,4.25,1.0,0.0,1.75,1.5,3.12,3.25,3.88,4.0,3.88,4.12,3.25,3.75,3.5,3.75,1.75,0.88,3.5,3.75,1.0,0.0,3.25,3.88,358200,381900,7.0,Faster than average,31200
11-2022.00,1,Merchandise Sales Manager/Job Retention,Sales Managers,3.75,3.88,4.0,4.0,3.75,3.88,3.88,4.12,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.62,3.62,3.75,4.0,3.25,3.75,3.0,3.62,2.88,3.0,3.75,4.0,3.0,3.25,3.75,4.75,3.88,3.88,1.75,1.25,2.62,2.88,1.75,1.75,4.12,4.38,1.62,0.88,1.75,1.38,3.88,4.0,1.0,0.0,1.62,0.62,3.88,3.88,3.88,4.12,4.0,4.12,3.62,3.75,3.62,3.88,1.75,0.88,3.5,3.88,1.0,0.0,3.62,4.0,554700,577200,4.0,Average,43200
11-3012.00,0,,Administrative Services Managers,3.12,3.38,4.0,4.0,3.25,3.12,3.75,3.62,3.75,3.88,1.0,0.0,1.12,0.25,1.0,0.0,3.0,3.25,3.25,3.12,3.0,3.25,2.88,2.88,2.88,2.88,3.38,3.75,2.25,2.12,3.38,3.62,3.62,3.25,1.62,1.0,2.75,2.5,2.25,2.25,3.0,3.12,1.38,0.62,2.25,2.12,4.0,4.0,1.0,0.0,1.0,0.0,3.25,3.25,3.25,3.75,3.88,3.88,3.12,3.12,2.75,3.12,1.5,0.75,4.0,4.0,1.88,1.25,3.75,3.75,250800,264900,6.0,Faster than average,21100
11-3021.00,1,Precious Metal Worker / Independent Contractor,Computer and Information Systems Managers,3.38,3.88,4.0,4.0,3.75,3.88,3.75,3.88,4.12,4.0,1.38,0.62,1.88,2.0,1.0,0.0,3.12,3.88,3.88,3.75,3.25,3.5,3.0,3.38,2.75,3.12,3.62,3.75,3.12,3.12,3.88,4.38,3.0,3.25,2.0,1.62,3.12,3.38,2.88,2.88,3.12,3.5,2.75,2.62,2.75,3.0,4.0,4.0,1.5,0.75,1.75,1.38,2.88,3.12,3.62,3.75,3.88,3.88,3.62,3.5,3.62,3.88,2.5,2.0,3.38,3.75,2.5,2.5,3.75,4.0,557400,643300,15.0,Much faster than average,46900
11-3031.00,0,,Financial Managers,3.5,4.0,4.0,4.38,3.62,3.88,3.62,3.75,4.0,4.25,1.0,0.0,1.25,0.38,1.0,0.0,2.88,3.38,3.62,3.88,3.0,3.38,3.12,3.62,2.38,2.12,3.62,4.0,3.5,3.62,3.75,4.12,3.12,3.75,1.12,0.12,1.75,1.12,1.88,1.38,3.38,3.75,1.88,1.62,1.88,1.5,4.0,4.38,1.0,0.0,1.25,0.25,3.62,3.62,3.62,3.75,4.0,4.12,3.0,3.25,3.0,3.25,1.62,0.88,3.62,3.75,1.25,0.38,3.75,3.62,792600,919200,16.0,Much faster than average,69600
11-3031.01,0,,Treasurers and Controllers,3.62,4.25,3.88,4.25,4.12,4.38,3.38,3.62,4.12,4.75,1.0,0.0,1.0,0.0,1.0,0.0,2.88,3.12,4.12,4.62,3.0,3.38,4.0,5.0,2.75,3.0,3.12,3.75,3.75,4.25,3.88,4.5,3.12,3.12,1.12,0.12,2.62,3.12,1.88,1.12,3.0,3.75,1.62,1.0,1.88,1.38,4.12,4.25,1.0,0.0,1.25,0.25,2.75,2.75,3.12,3.62,4.0,4.25,3.25,4.25,3.62,4.25,1.62,0.62,3.38,4.0,1.0,0.0,3.62,4.12,792600,919200,16.0,Much faster than average,69600
